Date,Open,High,Low,Close
11-12-14,210.529999,215.429993,208.229996,208.880005
12-12-14,204.820007,211.679993,204.5,207
15-12-14,209.289993,209.800003,202.669998,204.039993
16-12-14,200.889999,203.679993,195.369995,197.809998
17-12-14,193.059998,206.649994,192.649994,205.820007
18-12-14,212.380005,218.440002,211.800003,218.259995
19-12-14,220.190002,220.399994,214.5,219.289993
22-12-14,220,224.059998,218.259995,222.600006
23-12-14,223.809998,224.320007,219.520004,220.970001
24-12-14,219.770004,222.5,219.25,222.259995
26-12-14,221.509995,228.5,221.5,227.820007
29-12-14,226.899994,227.910004,224.020004,225.710007
30-12-14,223.990005,225.649994,221.399994,222.229996
31-12-14,223.089996,225.679993,222.25,222.410004
02-01-15,222.869995,223.25,213.259995,219.309998
05-01-15,214.550003,216.5,207.160004,210.089996
06-01-15,210.059998,214.199997,204.210007,211.279999
07-01-15,213.350006,214.779999,209.779999,210.949997
08-01-15,212.809998,213.800003,210.009995,210.619995
09-01-15,208.919998,209.979996,204.960007,206.660004
12-01-15,203.050003,204.470001,199.25,202.210007
13-01-15,203.320007,207.610001,200.910004,204.25
14-01-15,185.830002,195.199997,185,192.690002
15-01-15,194.490005,195.75,190,191.869995
16-01-15,190.699997,194.490005,189.649994,193.070007
20-01-15,193.869995,194.119995,187.039993,191.929993
21-01-15,189.550003,198.679993,189.509995,196.570007
22-01-15,197,203.240005,195.199997,201.619995
23-01-15,200.289993,203.5,198.330002,201.289993
26-01-15,201.830002,208.619995,201.050003,206.550003
27-01-15,204.419998,208.029999,203.300003,205.979996
28-01-15,206.110001,206.369995,198.419998,199.369995
29-01-15,201.070007,205.979996,196.5,205.199997
30-01-15,203.960007,207.470001,203,203.600006
02-02-15,203.970001,211.949997,203.300003,210.940002
03-02-15,213.220001,220.369995,211.270004,218.360001
04-02-15,218.289993,221.479996,216.800003,218.550003
05-02-15,219.880005,225.479996,219.639999,220.990005
06-02-15,222,223.399994,216.5,217.360001
09-02-15,215.380005,217.929993,211.990005,217.479996
10-02-15,217.550003,220.5,215,216.289993
11-02-15,212.210007,214.740005,207.279999,212.800003
12-02-15,193.570007,203.089996,193.279999,202.880005
13-02-15,202.899994,205.990005,200.910004,203.770004
17-02-15,205.699997,205.699997,201.5,204.350006
18-02-15,204.169998,206.169998,202.600006,204.460007
19-02-15,205,212.440002,203.75,211.710007
20-02-15,210.779999,217.600006,209.809998,217.110001
23-02-15,215.660004,218.199997,206.330002,207.339996
